y;moment;shear;torsion;;
6.0493125;275.1252098;-2494.369312;1008.313472;;
6.065025;237.4418429;-2302.703324;934.5255789;;
6.0807375;202.7479822;-2113.858453;861.5435544;;
6.09645;170.9985671;-1927.929836;789.3835983;;
6.1121625;142.1469546;-1745.024123;718.0640869;;
6.127875;116.1447192;-1565.262052;647.606047;;
6.1435875;92.9414055;-1388.781917;578.0337864;;
6.1593;72.48421696;-1215.744361;509.3757538;;
6.1750125;54.71761404;-1046.339248;441.6657461;;
6.190725;39.58277988;-880.7959412;374.9446706;;
6.2064375;27.01688223;-719.3995276;309.2632335;;
6.22215;16.95200092;-562.5183981;244.6862975;;
6.2378625;9.313454904;-410.6562029;181.3005271;;
6.253575;4.016895112;-264.5667304;119.2294127;;
6.2692875;0.962163324;-125.5955543;58.66849682;;
6.285;0;0;0;;
